Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\util\AddressHelper.java",13,4,9,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\util\ClientCancellableDelegatingFuture.java",10,2,4,,,,5,,,,4
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\util\ListenerUtil.java",8,2,3,,,,4,,,,3
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\util\RandomLB.java",2,2,2,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\util\RoundRobinLB.java",4,1,2,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\util\StaticLB.java",3,1,1,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\util\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientCompatibleTestsSuit.java",1,1,1,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientEntryListenerDisconnectTest.java",10,1,3,,,,7,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientIssueTest.java",61,1,3,,,,47,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientMemberAttributeTest.java",31,3,5,,,,11,,,,3
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientNearCacheConfigTest.java",3,1,1,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientNearCacheTest.java",62,2,5,,,,26,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientReconnectTest.java",6,1,1,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientServiceTest.java",14,1,2,,,,12,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\ClientTimeoutTest.java",1,1,1,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\MembershipListenerTest.java",14,1,2,,,,13,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\SimpleMapTestFromClient.java",19,3,9,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\atomiclong\ClientAtomicLongTest.java",22,1,2,,,,18,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\atomicreference\ClientAtomicReferenceTest.java",22,1,1,,,,22,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\collections\ClientListTest.java",14,1,2,,,,13,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\collections\ClientSetTest.java",13,1,2,,,,12,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\config\XmlClientConfigBuilderTest.java",3,1,1,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\countdownlatch\ClientCountDownLatchTest.java",6,2,3,,,,4,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\ClientExecutorServiceExecuteTest.java",23,1,1,,,,23,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\ClientExecutorServiceInvokeTest.java",7,1,2,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\ClientExecutorServiceSubmitTest.java",76,1,3,,,,66,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\ClientExecutorServiceTest.java",18,1,2,,,,14,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\ExecutionDelayTest.java",12,1,2,,,,10,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\AppendCallable.java",5,1,1,,,,5,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\CancellationAwareTask.java",2,1,1,,,,2,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\FailingCallable.java",3,1,1,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\GetMemberUuidTask.java",4,1,1,,,,4,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\MapPutPartitionAwareCallable.java",9,1,1,,,,9,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\MapPutPartitionAwareRunnable.java",9,1,1,,,,9,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\MapPutRunnable.java",8,1,1,,,,8,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\SelectAllMembers.java",1,1,1,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\executor\tasks\SelectNoMembers.java",1,1,1,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\helpers\PortableHelpersFactory.java",2,2,2,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\helpers\SimpleClientInterceptor.java",12,1,2,,,,10,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\idgenerator\ClientIdGeneratorTest.java",3,1,1,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\io\ClientExecutionPoolSizeLowTest.java",16,2,3,,,,8,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\io\ClientSSLSocketTest.java",4,2,3,,,,2,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\io\ClientSocketInterceptorTest.java",4,1,2,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\loadBalancer\ClientRandomLBTest.java",3,1,1,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\loadBalancer\ClientRoundRobinLBTest.java",3,1,1,,,,3,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\loadBalancer\ClientStaticLBTest.java",2,1,1,,,,2,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\lock\ClientConcurrentLockTest.java",19,1,3,,,,13,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\lock\ClientConditionTest.java",22,2,4,,,,12,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\lock\ClientLockTest.java",23,2,4,,,,15,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\lock\ClientLockWithTerminationTest.java",4,1,1,,,,4,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\map\ClientMapBasicTest.java",121,1,3,,,,108,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\map\ClientMapIssueTest.java",10,2,2,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\map\ClientMapLockTest.java",57,1,2,,,,54,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\map\ClientMapStoreTest.java",20,1,3,,,,14,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\test\java\com\hazelcast\client\map\ClientMapTest.java",99,1,4,,,,75,,,,1
