Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\SerializerBaseTest.java",84,2,4,,,,49,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\SerializerPojoTest.java",61,1,11,,,,43,,,,9
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\StoreAppendTest.java",7,1,2,,,,5,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\StoreDirectFreeSpaceTest.java",21,2,3,,,,14,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\StoreDirectTest.java",50,2,4,,,,29,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\StoreHeapTest.java",3,1,1,,,,3,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\StoreWALTest.java",3,1,1,,,,3,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\TestFile.java",4,4,4,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\TreeMapExtendTest.java",1531,10,129,,,,158,,,,3
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\TxEngineTest.java",9,1,1,,,,9,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\TxMakerTest.java",31,3,5,,,,12,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\UtilsTest.java",10,1,2,,,,7,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\VolumeTest.java",35,2,4,,,,22,,,,1
Package,"examples",63,1,7,,,,36,,,,5
Public Class,"examples.Bidi_Map",2,2,2,0,1,1,1,5,0,1,1
Public Class,"examples.Cache",2,2,2,0,1,1,1,4,0,1,1
Public Class,"examples.Compression",1,1,1,0,1,1,1,2,0,1,1
Public Class,"examples.Custom_Value",1,1,1,0,1,1,1,6,0,1,1
Public Static Class,"examples.Custom_Value.Person",10,2,7,0,1,4,4,0,25,2,5
Class,"examples.Custom_Value.main.CustomSerializer",2,1,1,0,1,2,2,1,0,3,1
Public Class,"examples.DBMakerExtend",1,1,1,0,1,1,1,4,0,1,1
Static Class,"examples.DBMakerExtend.ExtendedDBMaker",3,1,2,0,2,62,2,3,0,1,1
Public Class,"examples.Histogram",2,2,2,0,1,1,1,4,0,1,1
Class,"examples.Histogram.main.(Anon_1)",4,4,4,0,1,1,1,0,0,2,4
