Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Abstract Method,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapSpliterator.trySplit",1,1,1,1
Public Constructor,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapV8",1,1,1,1
Public Constructor,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapV8",1,4,4,6
Public Constructor,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapV8",1,3,3,3
Public Constructor,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapV8",1,1,1,1
Public Constructor,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapV8",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.CounterCell.CounterCell",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.DoubleByDoubleToDouble.apply",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.EntryIterator.EntryIterator",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.EntryIterator.next",1,2,2,2
Constructor,"jsr166e.ConcurrentHashMapV8.EntrySetView.EntrySetView",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.add",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.addAll",1,3,3,3
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.contains",1,1,1,6
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.equals",1,1,1,4
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.forEach",1,4,4,4
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.hashCode",1,3,3,3
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.iterator",1,2,2,2
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.remove",1,1,1,4
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySetView.spliteratorJSR166",1,3,3,3
Constructor,"jsr166e.ConcurrentHashMapV8.EntrySpliterator.EntrySpliterator",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySpliterator.estimateSize",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySpliterator.forEachRemaining",1,3,3,3
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySpliterator.tryAdvance",1,3,3,3
Public Method,"jsr166e.ConcurrentHashMapV8.EntrySpliterator.trySplit",1,2,2,2
Constructor,"jsr166e.ConcurrentHashMapV8.ForEachEntryTask.ForEachEntryTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ForEachEntryTask.compute",1,4,4,5
Constructor,"jsr166e.ConcurrentHashMapV8.ForEachKeyTask.ForEachKeyTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ForEachKeyTask.compute",1,4,4,5
